C3.4AVS,AVS Conduit,BPUAVZ,RAZ,Management-server,RemoteAccessPlant,TCP/443,HTTPS,AVS Update from upstream server over the Secure remote access solution,,,3,4
C3.2ePO_Mgmt,AVS Mgmt Conduit,BPUAVZ,POZ,Management-server,ALL,TCP/8282 TCP/ 8181,McAfee,Transfer AVS definition updates to Servers and Clients,,,3,2
C2.1SC,Process Control Conduit,PCS,SIS,Connectivity-Server,Safety-Controllers,TCP/102,MMS,Conduit for connectivity server to receive information about the process controllers,,,2,1
C1.1IPC,Process Control Internode Communication,PCS,PCS,Process-Controllers,RNRP-Router,TCP/102,MMS,Internode Communications between Controllers,,,1,1
C2.1SC,Safety Control Conduit,POZ,SIS,Offshore-EWS,Safety-Controllers,TCP/102,IP , MMS,Engineering of safety controllers,,2,1
C1.2SC,Safety Control Conduit,POZ,SIS,Connectivity-Server,Safety-Controllers,TCP/135 TCP/102 TCP/4840-42 TCP/44818,OPC-OLD OPC-UA,Conduit for connectivity server to receive information about the safety controllers,Bidirectional,,1,2
C2.1PC,Process Control Conduit,POZ,PCS,Offshore-EWS,Process-Controllers,TCP/102,IP ,MMS,Engineering of process controllers.,Bidirectional,2,1
C2.1PC2,Process Control Conduit,POZ,PCS,Connectivity-Server,Process-Controllers,TCP/135 TCP/102 TCP/4840-42 TCP/44818,IP,OPC DA and OPC AE,Conduit for connectivity server to receive information about the process controllers,Bidirectional,2,1
C2.2PC3,Process Control Conduit,POZ,POZ,Connectivity-Server,Process-Operation-Zone,TCP/135 TCP/102 TCP/4840-42 TCP/44818,IP,OPC DA and OPC AE,Conduit for connectivity server to receive information about the process controllers,Bidirectional,2,2
C2.1OSE,Onshore Safety Engineering Conduit,ONEZ,SIS,Onshore-EWS,Safety-Controllers,TCP/102,IP ,MMS,Engineering of safety controllers from onshore EWS,,2,1
C2.1OPE,Onshore Process Engineering Conduit,ONEZ,PCS,Onshore-EWS,Process-Controllers,TCP/102,IP ,MMS,Engineering of process controllers from onshore EWS.,,2,1
C1.1IPC,Process Controller Internode Communication,PCS,SIS,Process-Controllers,RNRP-Router,UDP/3341 TCP/102 UDP/147 UDP/2423 UDP/123,CNCP MMS 'Remote Systems broadcast from Control Builder (147)' RNRP SNTP,Internode communication to and from other Process and Safety Controllers,Bidirectional,,1,1
C1.1ISC,Safety Controller Internode Communication,SIS,PCS,Safety-Controllers,RNRP-Router,UDP/3341 TCP/102 UDP/147 UDP/2423 UDP/123,CNCP MMS 'Remote Systems broadcast from Control Builder (147)' RNRP SNTP,Internode communication to and from other Process and Safety Controllers,Bidirectional,,1,1
C1.1EEC,Electrical Equipment and Controller Conduit,IEC61850,IEC61850,SAS-PDCS-Control,Low-Voltage-Switchboards-IEDs,TCP/102,IEC61850 MMS,Signal exchange between Low Voltage IED and 800xA system ( CI868 Goose Communication card ),,,1,1
C1.1EEC2,Electrical Equipment and Controller Conduit,Profinet,Profinet,SAS-PDCS-Control,Low-Voltage-Switchgear-PNQ-UMC100,UDP/34962-34964 UDP/53247,Profinet,Signal exchange between Low voltage Switchgear and 800xA system ( CI871 Profinet Communication card),,,1,1
C1.1EEC3,Electrical Equipment and Controller Conduit,Profinet,Profinet,SAS-PDCS-Control,Thyristor-PNQ,UDP/34962-34964 UDP/53247,Profinet,Signal exchange between Thyristor and 800xA system ( CI871 Profinet Communication card),,,1,1
C1.1EEC4,Electrical Equipment and Controller Conduit,Profinet,ESSGENZ,SAS-PDCS-Control,Essential-Generator,UDP/34962-34964 UDP/53247,Profinet,Signal exchange between Essential generator and 800xA system ( CI871 Profinet Communication card),Bidirectional,,1,1
C1.1EEC5,Electrical Equipment and Controller Conduit,Profinet,UPSZ,SAS-PDCS-Control,UPS,UDP/34962-34964 UDP/53247,Profinet,Signal exchange between UPS and 800xA system ( CI871 Profinet Communication card),Bidirectional,,1,1
C1.1EEC6,Electrical Equipment and Controller Conduit,Profinet,Profinet,HVA-C1,LV-VSD,UDP/34962-34964 UDP/53247,Profinet,Signal exchange between LV VSD and 800xA system ( CI871 Profinet Communication card),Bidirectional,,1,1
C1.1EEC7,Electrical Equipment and Controller Conduit,Profinet,Profinet,HVA-C2,LV-VSD,UDP/34962-34964 UDP/53247,Profinet,Signal exchange between LV VSD and 800xA system ( CI871 Profinet Communication card),Bidirectional,,1,1
C1.1PCC1,Process Control Controller Conduit,Profinet,Profinet,HVA-C1,Process-Controllers,UDP/34962-34964 UDP/53247,Profinet,Signal exchange between LV VSD and 800xA system ( CI871 Profinet Communication card),Bidirectional,,1,1
C1.1PCC2,Process Control Controller Conduit,Profinet,Profinet,HVA-C2,Process-Controllers,UDP/34962-34964 UDP/53247,Profinet,Signal exchange between LV VSD and 800xA system ( CI871 Profinet Communication card),Bidirectional,,1,1
C2.5.2.5BMS,Backup Management Servers Conduit,BPUAVZ,ESDZ,Backup-Server,VMware-vCenter,TCP/7755-7756 TCP/7765 TCP/7780 TCP/9852 TCP/9860 TCP/9862 TCP/9876 TCP/9877,ACRONIS,Backup of the machines and servers in the Management Zone,lateral conduit,,2.5,2.5
C2.2CID,Controller Information Distribution,POZ,POZ,Connectivity-Server,800xA-Servers,,IP,Distribution of controller information to other servers from Connectivity server,lateral conduit,,2,2
C2.2CID2,Controller Information Distribution,POZ,PCS,Process-Controllers,SAS-PDCS-Control,,IP,Distribution of controller information to other servers from Connectivity server,lateral conduit,,2,2
C2.3OCI,Onshore EWS Controller Information Conduit,ONEZ,POZ,Onshore-EWS,800xA-Servers,,IP,Distribution of controller information to onshore EWS from Connectivity server,stretched vlan,,2,3
C1.2ECT,Electrical Control Time Conduit,IEC61850,NTPZ,Electrical-Network,NTP-GPS-Receiver,UDP/123,NTP,Receive time for the Electrical Network IEC61850 and PROFINET.,lateral conduit,,1,2
C1.2SCT,Safety Control Time Conduit,SIS,NTPZ,Safety-Controllers,NTP-GPS-Receiver,UDP/123,NTP,Receive time for the SafetyControllers,lateral conduit,,1,2
C1.2PCT,Process Control Time Conduit,PCS,NTPZ,Process-Controllers,NTP-GPS-Receiver,UDP/123,NTP,Receive Time for the Process Controllers,local firewall,,1,2
C2.1800xAST,800xA Safety Time Conduit,SIS,POZ,Primary-Aspect-Server,Safety-Controller-Network,UDP/123,afwtime,Aspect Server get the time from the Safety Controller/Network,,,2,1
C2.1800xAPT,800xA Process Time Conduit,POZ,PCS,Primary-Aspect-Server,Process-Controller-Network,UDP/123,afwtime,Aspect Server get the time from the Process Controller/Network,,,2,1
C2.2OET,Onshore Engineering Time Conduit,PONZ,POZ,Onshore-EWS,Primary-Aspect-Server,UDP/123,afwtime,Request time from the aspect server,stretched vlan,,2,2
C2.2OET,Onshore Engineering Time Conduit,POZ,POZ,Offshore-EWS,Primary-Aspect-Server,UDP/123,afwtime,Request time from the aspect server,stretched vlan,,2,2
C2.5.5ESTD,ESXi Switch Management Time Zone,ESAZ,POZ,ESXi-Switch-Management-PC,DC-A-DC-B,UDP/123,W32Time,Request time from the domain controller for the ESXi & Switch Management PC,,,2,5
